Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
413.4280458230143,114.5751248437849,0.0,133.7882770067941,23.924126789160805,863.489376071238,973.178858516706,91.26691952108044,61.00429010473891
351.7210525206822,155.24161206866358,0.0,230.87376967782353,0.0,764.1515724249707,592.4425802558175,167.33571353177425,38.88607123344709
551.6541843612501,0.0,0.0,135.07536848311383,27.19807905970299,875.6198385176449,921.0659248806767,55.86960892241951,60.976031287128144
153.479688040487,214.96229070644128,0.0,177.6889381135679,0.0,1054.3397743795924,805.7064742033255,88.12392448681503,35.680030753439866
176.67882083666225,0.0,129.5681038117783,163.3895202066712,8.44303730257797,1097.2399286892576,803.5744204576885,100.93408689224528,42.56677127814251
153.07912135681678,172.91259408292618,0.0,173.7397274938972,11.972988742522771,918.1488483185882,902.097399962835,27.9717402740744,28.855830309819417
353.86235006737155,209.4715522787662,0.0,161.17677641696966,12.994022290403915,907.6439436290657,814.5439482149467,7.390024417046682,53.019282514145196
218.21022817284424,0.0,88.81832774833875,193.34959977164164,4.573608862567082,950.2561517211827,890.901131502348,28.285739270132098,26.499975980997082
446.7696002082326,0.0,0.0,148.7413949247779,0.0,867.1468970854577,828.4917472174096,7.917961423192092,49.66201097577992
163.15798326380136,0.0,162.76141483526652,193.96731311275718,4.937021501732377,1135.1064216412906,783.5269486809617,14.252734073402745,25.30214631628381
317.3531298765829,0.0,85.56446246266664,189.1260337190369,9.323953395626571,951.1483845663965,835.0238589579491,109.77363823740505,51.051434837809026
382.90852113201527,101.02168122744906,0.0,143.95248712022138,18.00378632553249,878.5850307675245,872.2749908600409,7.7344806798450065,58.18897018243026
332.2518582094864,0.0,0.0,180.01630990850447,3.556371049759573,1110.9031961328928,805.1287589454944,25.232746439500733,44.92383501476168
368.1039429697268,164.00909468027834,0.0,179.57534423585264,9.949170102636076,961.7341093750204,841.2633773334502,56.56577693182466,62.67925475224545
399.0247235580484,179.89858744967515,0.0,129.72635544737327,10.989153120360069,843.6394219291157,691.2999350822986,31.24191025758294,72.64660142622873
199.8223092152051,55.37705847158317,117.01080436322324,148.67207628073595,11.80551085267353,1155.7429587479462,824.730784455443,53.3791547016435,59.535543119650534
184.71773664119678,131.47950042189063,0.0,194.09181497113903,0.0,1085.8838733159337,751.7402829631643,26.00001886661894,19.830508816339414
541.8544765087651,0.0,0.0,164.74964980108336,0.0,1155.2370324190817,590.1330465050456,152.77126022882257,77.26326297806331
498.9164126336427,0.0,0.0,211.15615868734864,0.0,1170.6560885517804,600.4544752678506,30.556208769505854,45.575170667239306
343.21083344802474,0.0,0.0,206.12671448560803,0.0,971.8281804168607,727.587508055542,7.021238748046622,8.515148445386503
188.4275981289356,50.26422474198996,182.49329518575283,108.79596150450888,5.682859860698151,1021.4729289971283,850.8849739477338,30.132112034657677,24.898336807887986
370.5474234784466,0.0,0.0,220.83886910046817,0.0,1076.1256275031865,791.3456497718556,2.9195820501093204,19.104934522571124
432.6434419951001,23.844646307362908,73.58809582141686,168.28771423801305,12.220369959348485,996.1589560546179,703.6594267144861,55.87635181003805,61.518576190331736
341.42091845758017,297.45535317068646,0.0,175.72906005390857,10.523742017023466,879.6102129177195,690.2104187260579,55.22898949268911,83.03580849612291
370.6384965601378,20.000644218187464,91.02753877443081,164.1300990974186,13.8657034621067,907.8738663974568,925.9316037129638,55.00408157090868,59.82227862677905
404.39358020501544,20.090763154372997,96.31280456224452,153.71028800624984,12.85901770378998,977.8377638173743,881.2649117282758,6.319806423144598,44.91849636763356
315.5645234175835,0.0,135.95806823180558,211.74507587189623,5.548141002003221,922.8237085915374,768.3861502810314,25.390553138566947,44.33369499207702
419.5946580647895,0.0,0.0,232.55735533993393,0.0,924.1594414299467,660.0992013281035,324.4852827001642,49.01822466874468
134.22701605403182,243.86465267212358,0.0,147.06124420091746,0.0,1089.299173189806,817.6494345183288,7.491120554284943,16.204509673701182
253.9066865447786,0.0,115.17148509866023,188.30762207326006,4.775982972434303,1067.4690125047214,800.4025506968611,15.560231992633753,20.275593493012636
278.61715791933875,83.36542213327391,0.0,219.2563093694401,0.0,921.7116841569718,672.2184452740178,264.5949475025087,56.260253097776214
146.0223625322573,179.78831280300395,0.0,174.22590367118468,9.240381826205022,1018.7123179357823,752.970940158094,28.460737058743472,17.570254525664026
258.8372941737476,0.0,0.0,177.53301258820613,0.0,1045.012224936201,930.0361575240712,168.0307694636219,23.125654534019546
343.39710442478173,20.268852256297336,96.76007698452858,149.57363690819977,10.102485067998513,992.8458952009266,841.0320333925584,28.844802614675537,49.58434657213445
435.6495247419889,104.95708729791635,0.0,150.10782479205983,16.276772974010466,835.193451821507,946.2859181759623,2.9017979526636064,35.79550828782407
249.53917093630452,0.0,98.93370886548358,180.08172614719984,11.802029210466012,972.4373137947208,907.352461105005,57.1067537749617,47.524112447780745
169.87420241411493,199.06293550233698,192.91579702996938,200.157073562749,6.344813877812804,957.934705731777,659.5895488396558,30.048280723032857,19.58572582407169
179.01525146534905,0.0,152.0983807904253,179.5513993854186,3.959618947726614,1103.6059699804775,781.2593876070835,58.92928065544527,27.195754137985755
207.1184209550999,57.470657511536594,123.92343256377531,149.52075561224078,9.419145392365937,922.1687528731945,705.9974740387994,14.513422524917218,37.22852443372549
574.58146146885,0.0,0.0,140.36614875514067,26.50392972395617,891.99635944649,929.6061590959887,90.95742540841658,56.46463663938884
229.66224081302883,0.0,92.86533379311017,172.27406317651688,5.545024616767978,997.2536854051399,848.6589484647461,13.759252896013473,24.991579625071413
349.9818582582537,17.01470670317362,95.23183115862435,160.51303082156264,14.75256368620091,1036.33516674099,845.4705597846919,2.775816917694377,22.287699139731007
240.37102674014312,0.0,98.46782673673937,202.55630071098986,6.6518318814435204,1055.0004366738306,837.5915422082921,27.07862019070679,25.971258474145117
375.5505439662062,0.0,0.0,185.51562358965947,0.0,921.1630807704972,829.282184753797,3.020005083658352,13.766250029920666
231.8214370828749,0.0,0.0,182.61113771712476,0.0,1077.7195341133413,816.808216940378,15.491907517253717,13.771203503650726
229.42623684766886,0.0,104.93954984051257,146.77314644912371,12.981944515834973,1018.0545130558463,885.8941424985904,57.73650823140831,42.02011318906214
290.536725302928,17.230624398998902,153.05141414056024,177.48854775657452,16.70326408255319,903.6763297461814,668.5248836157341,30.302672016296395,51.99766697355965
337.76491572222807,0.0,109.073935397597,226.070984648847,6.312432733009602,863.7971326799291,605.0181851723976,26.799806948860343,38.73515388338153
415.49115976595346,0.0,0.0,213.33225741459282,0.0,843.1503826348719,636.4497836458527,324.83891451547964,45.554587719387214
254.3450129801865,0.0,142.6983450887347,139.86130883987323,11.957807011396532,1055.9971242049699,832.047917779834,2.9679312023510604,22.36837543264103
344.5204814823083,86.25306117636089,0.0,233.2596304917559,0.0,882.7281965625375,570.6340608065665,7.023372070485226,35.32430202825724
225.8266963553292,0.0,108.22389282732661,205.63228338742536,4.730231923112573,1023.6759023152966,785.7537572630763,2.9789427436756943,10.423755059261337
320.7873300765083,105.32647889208621,0.0,207.56377654516234,0.0,878.9987214721222,646.4406450564401,182.22931642846135,43.81808230206217
142.59466821188613,170.59500080199481,115.13349392703786,169.04050664618188,7.008057980677939,725.8174281743783,849.2835513253818,24.417589284671866,29.717847730664385
283.1829491867063,0.0,110.79293593460226,162.24364871763157,8.594646163780475,917.4687230463596,791.7734951721864,26.034859867773385,40.63222323963
287.77517728583916,0.0,97.04648762888932,217.89975819004445,9.213478616439154,943.739849038745,736.1496140017844,26.956344205563582,28.733985579459528
177.902945595989,0.0,129.11825800290367,151.86975993659652,10.621270584097651,1165.2280542401963,838.1428098129859,13.20494897432279,25.130144594882754
242.7421386936103,0.0,126.45764009723455,165.5186936959302,9.541055259447337,1012.211889971052,769.1267018594142,99.56510872199958,57.23429852169671
157.52193173495172,0.0,206.22708134018285,207.71312695384864,8.652103970110453,802.2517852416914,905.8936718008703,29.280998779242474,9.996529646891009
105.14961656169184,159.0266443518016,0.0,224.29337393913926,0.0,997.3517725673755,825.9827152827886,26.2433055174882,19.426927637997647
377.5854198004053,185.23925525667866,0.0,196.39605906907119,0.0,841.3693055892825,750.3900167466695,28.161492437474916,43.54849174756218
304.2790570315992,0.0,134.97893417795265,191.37240979955803,9.999670536528336,873.8063504683307,696.4208963243552,28.210115333300067,19.734374092008522
214.43467375541692,268.1858808739431,0.0,200.41916073173323,0.0,1117.0550188403631,581.0870824340348,78.51676061488754,52.06513960500825
216.33307075494432,0.0,118.25747331475984,153.81913536636884,7.154033578250835,953.8396865176466,803.8268746902978,2.919342430784512,19.153479310507116
233.16875458975386,0.0,0.0,180.70521318406384,0.0,930.2903495933879,974.1049816907775,13.105458750571982,14.092947780392961
168.58612493518012,107.78312834451177,0.0,194.50692025873423,0.0,946.2626432156229,928.0109504789393,91.23934477322571,34.6744039563038
357.6448865527518,19.67598174884204,164.82155453393096,148.12555923145567,10.94752386385821,954.9150436904854,790.0058316185643,6.678951027250555,40.2182476815831
252.58456586069877,0.0,109.48324063584174,184.29694092835427,6.269268638898785,1047.652094499926,709.9326103906244,26.52187929095543,33.16275847669698
322.94904956895334,76.85487828749427,0.0,224.51940268540133,0.0,854.1931099694431,678.8802634898781,96.77664896594669,58.31448794730703
293.16519840147936,116.11029254152417,0.0,200.6722784104701,5.579484389840343,883.0091418026558,866.247463673897,27.04048271732487,38.129607642329304
311.90584767306547,151.6205963911333,0.0,204.41283712677864,8.39708937672054,983.6424764750669,726.2846626074228,26.236638548418135,39.82817214833585
268.0714877872013,0.0,0.0,189.03507564522826,0.0,1268.9193540358303,858.3286043132548,7.799207300972735,9.879755392985459
377.5892895388785,19.093799405960127,97.65168953763585,169.34830882296095,14.033995066445287,966.1117010379438,905.9929024377417,3.0489353085449844,23.547907921018574
176.63730480235688,0.0,91.48328098892239,226.22067734920492,6.593156995935274,941.8971172888643,809.5633167615507,89.47599994023533,46.30122436045616
361.9670886185908,0.0,0.0,195.49398854832378,0.0,1015.7966023294589,804.1556620200095,3.129199727651221,15.66771093110099
325.0538786382751,0.0,0.0,167.16346034743574,8.354532281085055,1075.9066101640542,817.2928031522392,24.606748529019995,27.190295875207593
149.00821145444212,113.88912815658114,91.72572285660496,191.879208489024,8.294811743248847,853.7779380515265,839.1435399819173,28.99632975176953,20.210253946171488
229.1769129033239,0.0,0.0,193.27681377183967,0.0,1002.4838922602528,780.8474304012836,167.22395321298248,22.469498931798576
224.69597757299462,0.0,0.0,174.03700353795918,0.0,1279.4908131832233,702.1472475359225,27.711831364068548,17.2943751699383
241.2134464610704,182.51859123922955,93.19583745084776,151.02275165463521,9.017037250620982,753.7495416913579,806.6398839901992,28.32454764186836,64.63994047771808
283.5018952249812,0.0,137.85665773261772,165.18239067284378,10.532107442163067,988.0652565675896,733.6748952031323,13.951086578958467,39.97805739218099
252.27897237553907,0.0,0.0,203.7608260468038,0.0,960.695914659419,966.4388819573331,3.2410407957999525,5.891743300735455
170.33377151551053,163.0790880567997,118.16030806801297,173.1680765184558,9.039937993079517,990.2311434463193,677.9055943906133,25.36085370098322,28.360337544912692
203.4844145412378,189.02469606264515,0.0,216.03936295962788,6.54236409074759,877.3818548468663,753.5519547181706,24.45252792890944,37.20360159147802
444.650566245816,50.772990285267426,0.0,196.5259871426074,3.047841088562992,1005.3955134960308,642.3047151102415,28.298259029337146,39.82638237769368
254.294558203825,376.85497480198364,0.0,199.74608150566348,0.0,879.7390488620293,656.313854343465,27.082358022967316,43.733949277156135
281.8451079434457,0.0,0.0,168.7966810660791,0.0,954.2341931632394,757.6082628014235,97.11112646815984,33.440771049121714
189.54164992538344,0.0,0.0,189.65624607389168,0.0,1108.5908763344958,873.4369441457224,30.066466711973575,12.442042208740663
310.1399499338182,0.0,0.0,180.6513134152736,0.0,924.0427402525531,788.9928569420803,27.50348514896747,25.83681738495027
153.41499721479087,78.97330763554514,158.8374765687176,173.96043813660256,8.662900494775515,916.6778809847034,748.4421704685018,58.22739750135817,60.585464232983384
371.2282584096766,19.31205571741107,90.97201579893803,156.75960750159453,16.029246444091047,898.7209267977117,808.1535955220278,7.164374907449652,35.65590937429428
519.5365206777105,0.0,0.0,190.1309172765916,0.0,970.9733998736308,680.7510026644305,2.9456927817637357,24.314235114734043
282.0321422699839,228.87889222863788,0.0,217.7169616916991,0.0,1088.5687852712945,537.5574908445025,379.42559928399675,38.651533277972334
226.89114641803357,0.0,122.28219706719163,206.0814435387181,5.133176583941793,909.2401953649915,832.2095735633787,99.84934670730168,44.296888029062345
165.1183065128621,178.87165855823446,226.95152282344515,201.60419969528257,6.322962602895295,905.798187502135,580.4766018212712,27.00463800647384,23.656846167348252
205.6059635100158,52.39652699706061,129.94235642657506,147.18607480481137,12.258673637672928,1111.786654045004,813.4911361060823,13.097283194301939,37.78626133089945
492.0699324237475,0.0,0.0,206.48725764626766,0.0,917.2473467831342,740.055396548731,6.7299668144272395,30.65317608431805
191.68844872790945,80.70733313183786,187.91618985411935,215.78780533881084,6.215811410241185,934.1250264463431,582.8460178624978,26.761064610706065,22.435850658213884
379.28002457294633,0.0,0.0,229.18604033260812,0.0,988.4645628122806,647.0581128822641,375.62647338051426,49.12886866902938
193.76016869023488,0.0,177.51756475660582,153.20805398911327,10.751428300666122,1006.554603295087,835.4777272623987,23.840908312337138,47.99681004543661
179.10467519525457,14.835668748948342,181.32060508282927,143.58752195358417,3.514685510935346,969.9452619369486,941.912079186696,33.449667807281415,34.46994759918283
270.02702805009,0.0,99.16196053715893,204.0819707083334,4.534993337073205,973.2832895952305,811.5327488525702,51.60367588132554,38.7706175249856
259.40184900181487,0.0,0.0,196.51098167386388,0.0,965.4685105497746,809.2643088245429,85.26267563563628,29.543572991540277
371.77511186533667,0.0,0.0,189.30120009063253,0.0,950.042102110986,702.2113259275433,6.824263749703012,20.341239709609955
340.7490760719964,191.8221896314127,0.0,177.3832665471064,11.496842241398749,809.4812541304475,791.6365438603758,51.12144332964512,74.97655595543755
426.99613536891883,0.0,0.0,186.29380998464958,0.0,927.1708267733065,763.5510221488851,30.17221353325298,36.88126138287315
414.40897987443077,0.0,0.0,193.3714777806353,0.0,1100.2121797218513,789.7050379936843,7.925499384399862,27.907477727739245
306.37135824763277,0.0,0.0,213.5538350514311,0.0,886.0057497885595,817.1320993273828,2.9976065571830857,10.760528910572491
325.96684219610177,258.4802750287898,0.0,177.78485625921286,11.221756053163118,904.3738593905815,646.464938259875,27.47838050679274,80.6745303428579
392.3098666354903,88.16007142127347,0.0,219.35743636542287,0.0,987.8907178191483,543.7978986375772,72.34692937002173,38.84180634719773
308.47020271716457,14.333726589496724,125.90604709711714,198.69284313157615,5.318656039100199,793.1024076607256,770.0247820397775,2.705026359412307,14.88725584533952
136.19157376204475,185.25704124310627,0.0,207.1510195748634,0.0,1105.5939031391067,812.9300547287704,7.8235707651000554,10.19217174371958
187.82527265842484,121.13001072382238,0.0,205.10515905684838,0.0,1034.3543664298718,704.0097183288628,2.6193881112759296,4.6494783158119555
481.90288314003203,0.0,0.0,218.39235908685063,0.0,925.9796302558927,635.6084905485543,88.629204037833,43.217772429422865
253.2925297534848,94.3905853162987,72.38925377154155,237.1497919332542,5.625313182723845,805.3099079784067,645.1747338980146,28.958716655107224,29.800838032586377
195.39413423349995,0.0,134.82281295771347,165.26785365261293,0.0,1064.1813830594872,788.8145624739507,3.059866180552259,13.233305719319665
221.09401982599863,142.3840617964958,0.0,163.339722135252,0.0,983.6154724292209,787.9441252178691,7.934525768296402,13.12642932022411
129.7370372582601,157.77120940760278,123.60929151785126,164.8250224182767,10.136294403386248,1023.7833496928898,742.6297897139866,30.70174283029337,29.06474396185926
330.3037817170535,0.0,101.32237926208987,202.62524144789083,5.262741850919824,909.8800935531177,877.3186442725702,25.746459389315266,40.0143299703168
278.7600682771789,183.59218813485919,0.0,182.08157095958296,0.0,1025.2601834003378,709.964610680214,27.72651288055386,35.091444099834064
430.91662284808933,19.80719460311516,85.99931441092738,149.9610028461957,14.318698346016905,1008.9420784057073,805.0439506946764,6.984803062038358,45.944261575629056
311.5404174034686,0.0,0.0,193.53269547064835,0.0,851.0530116053745,801.1144037512387,27.475340406651796,28.42410056181742
438.5822139817727,87.66715236938683,0.0,149.24248257015736,13.727442328205765,818.267433793582,968.048144462333,7.996024055619896,36.6243277750167
420.6854554239719,90.55234713230988,0.0,152.16410465952453,10.712620412381535,860.2399417607435,857.9586477668296,25.491861826988085,68.98753062022863
302.6369225782422,0.0,86.37789570294291,156.72242185349916,8.728215776682987,901.8619862967777,895.9108591939788,13.67530582900406,38.39649403662289
288.7788227770742,0.0,0.0,190.53465213076544,0.0,1138.3823874327613,763.8369043564587,7.444621441672787,19.193301126740998
155.08278164834968,237.18581055986277,0.0,173.94284976257842,10.224471087756784,1088.5010378191073,594.9921791458935,25.46167657580637,38.75771681446047
244.19421311409803,0.0,0.0,180.6573785153779,0.0,831.0568091464801,945.1748085094824,29.22824757930706,19.414967344946724
492.8969722708602,118.54588035607492,0.0,173.3716411485458,9.336882479188425,946.4374705442713,755.1712371464622,3.184679852675347,39.26772325916743
185.09098766414718,290.16762335256857,0.0,188.67298254552142,0.0,1102.6319152313258,749.1245570071056,7.120351807780046,17.102883518537844
260.260631386776,93.60449215710152,23.63022226686142,153.986324596706,10.085293773435877,1021.3820176381366,759.8346914590836,25.773361704715047,58.61885948768994
393.21405587774404,0.0,0.0,181.88114919836968,0.0,1092.9964621885945,812.5467501175685,6.977140368873,12.712970305706035
214.9724526329024,0.0,107.5612546102816,153.9209532503938,7.690130536142882,1104.5366551679394,980.5681675456019,14.040376025473453,23.76042485025023
157.59128187492794,253.06940716898941,0.0,193.0473221103051,0.0,1008.277616947058,652.7782767880559,2.699673863283739,6.501464636733028
152.09142840986465,131.40592888974183,84.26742021682378,220.0786752524554,8.096274643332,913.8895543347111,835.1685974149598,25.723044866049037,40.51793955652739
162.95084988819355,116.10008755497924,114.26145381503787,192.27720050584196,3.7059623097817256,1072.4316225992925,707.9320326808208,14.142725872399286,32.44379416227993
163.7256081263633,96.99449990165999,165.0386593807949,160.98139431828645,8.480603439950041,1008.2830780712229,741.5662009874434,54.82370468234882,49.38662509647162
284.4979414250704,0.0,0.0,193.96642791632095,0.0,1008.7143919183335,813.0203097232268,180.9913941567351,39.39481705842249
334.43712733318324,150.28487085374675,0.0,246.10152502465272,0.0,858.6975297037574,614.3758071312839,165.6253713641908,38.181073422730236
470.49697078825477,26.27490066838869,134.53437473255337,178.41654748144867,6.925083842359692,867.4022076433366,749.9702784848556,26.741171577739326,65.32650357092882
313.8519327796791,162.58922964114615,0.0,198.67780045722637,4.718783587738849,968.4044900529178,803.9073289601454,29.0178058406637,59.15924307649151
187.68245260402176,0.0,157.03670843407608,180.36918101717902,4.124146897916735,1071.2282530454604,889.2107066602325,25.974344150502894,23.410558727123203
332.65589448192554,0.0,0.0,176.44338783577078,0.0,1000.7505278252387,876.2577785533146,2.8794868180096693,14.924235143779248
232.1846841586793,0.0,91.58697791962672,184.045177482045,7.531421304121616,1021.4023591171372,777.1038204425611,2.915450348482981,22.87031339502208
236.3791503933682,0.0,0.0,215.76849997145302,0.0,899.1322062557786,967.3634190732986,187.22706394099407,28.016766962781787
153.11583246326114,12.70494269497747,183.59025670081675,197.33742636698074,3.9517277276070657,984.9866835687524,897.3464383801005,53.276006727177865,36.49523073102933
236.96262728641835,0.0,121.92382260579949,171.61192583787837,6.690706641746265,1040.8795415152915,725.965198098417,25.911892978052038,36.022630517460925
137.8558852164418,0.0,186.07456989197598,185.65684712862944,8.35338233071536,796.760089116729,889.5600426965356,31.06501246598116,10.55928018825112
492.7693052060476,0.0,0.0,164.2816259221545,0.0,995.5812716303342,712.748790346248,27.336210525080055,41.10769241693829
225.5131474297084,108.36956707320942,25.309926513539775,173.6795210615345,6.871094476191115,1047.8419543556058,853.4750922710938,51.825467688712834,56.1434997653293
320.00044914998085,196.9947527656288,0.0,183.34263122080407,11.100750822484938,869.1615843334031,713.5079675132605,64.13477113377327,59.12399705677098
184.8032885084852,0.0,115.05431875546968,159.3618335101807,9.428490336584023,1081.0788712748997,750.3411528543503,25.487407847734083,22.3911006341978
132.92148193658892,163.8463793270074,131.12340928498955,160.51496187447822,10.076151748312066,948.8096113378141,777.7595752052882,28.360851084642416,25.927054601433188
229.84139389009582,0.0,123.92253457169868,187.6541099281245,6.294193657997514,1143.2467657102977,742.229159869435,102.81789414027918,40.708265399950285
252.78873523419642,0.0,124.75338654191167,198.26401407201516,4.071591557305453,941.7368260246184,603.4241035120849,3.197174308070658,9.575862738482824
567.7152434615415,0.0,0.0,154.75973926214732,27.068038729662756,780.8909221589158,952.0231642611556,29.49966384686856,58.37136798816205
387.1481974114543,0.0,0.0,193.83967037851107,0.0,1071.6052788991144,791.5531531150574,1.0092154461151237,6.6781448633602265
338.42208359736566,270.4021401920487,0.0,190.6342191073523,8.824435906093477,1043.8875564307878,618.1913585044435,7.092774415271089,42.76604401188888
275.61110204668444,116.61873350624855,0.0,190.39432620713137,6.8890203007342246,942.3365990280693,741.9096992463483,29.388698139448366,44.46703862922573
153.6891826621528,188.20992866047985,139.57134356091262,201.65326840977565,9.723925424523017,740.0771913422084,733.6877121190079,23.79792168767,34.07809681651806
499.11388823952115,178.42776427512376,0.0,178.903101741202,12.239714549545461,832.7769030689103,685.6242843301302,28.579386497570994,63.11973333373748
398.054075870208,0.0,0.0,207.4641479348679,0.0,1017.1031970237626,722.3928836405547,14.046275231222209,26.351850613993914
397.18052923572833,205.74439725790108,0.0,179.32334243436262,6.173857779847599,897.5012950971974,769.6210296440172,27.910161628193666,68.49777034825898
471.18216396249045,115.45313153810002,0.0,141.08841297658046,35.06894032463186,859.3520603268041,827.810473900691,54.7913036164542,71.02182991521695
274.21017834171715,0.0,92.63618289281888,168.13583142784353,10.545478788864946,1059.9587793132914,750.436682084561,59.248746771343704,58.41096484098395
226.56834850511194,0.0,119.95943315211602,195.47124040092982,5.4627916970323165,954.6821479072017,838.9470524962264,14.09305334799167,22.736618331706392
261.5008366811502,167.7375340079232,0.0,214.49240493389223,0.0,1000.8664969222749,732.0246533498399,3.1710502616182965,9.890373867133743
262.5444198010699,0.0,91.20860596161714,149.01623372129285,14.959038353527284,955.4899256969741,979.8550156817565,100.49745377156127,51.06950101914783
151.42122468950387,148.88117279562672,117.77825750672163,180.25754886168437,5.647670776761459,858.9815063664165,840.6062509405803,28.262817473068107,23.095767074334578
137.2551626260681,258.24557546344926,0.0,194.15129999255913,12.1182306206538,1152.2282101078413,650.581755069369,25.879873052789474,37.08097049732375
262.7872666207,0.0,0.0,197.65446177441834,0.0,1013.8735948413672,742.3401407302345,6.798154435123043,12.659529183055557
295.26772123057515,126.78925057777855,97.23330861374204,193.96325446332122,9.518476283473326,901.2224927594992,641.738581305284,28.013417077131884,35.47185691576582
487.6876950731758,0.0,0.0,193.47506466854287,0.0,1322.8329607739372,580.7550772725309,220.70996176407155,52.69712297840564
157.76042717937742,141.34475759420798,0.0,166.7231239175771,8.843882687299782,990.5796138621776,806.6054829784337,28.939427958129535,18.866966595113908
267.49134771897985,0.0,103.21022390052484,163.32322636953836,9.938586578999622,1135.0834440452918,660.0642490827495,13.690691136221524,40.04870726044261
148.64982891993535,192.94303475930514,0.0,185.70954245704317,9.77337393775888,1097.8063976622725,677.4740288451369,29.7064513813098,17.16343128357706
292.00737079417917,16.323783341308364,163.0315812039635,174.5538463243852,16.841107361909728,944.388426339972,577.9494466595419,27.920731931083232,47.133118001798294
425.4165634438114,0.0,0.0,199.2557128806184,0.0,1116.7762236818683,723.3146531808634,6.873929255818761,23.6043644570485
169.94778581571774,130.11043472123103,137.0187145773422,166.6198499763794,8.087745115195597,1001.9235906955657,739.2454197842195,31.973484410652176,46.14871032609009
251.64389921219512,0.0,0.0,199.22499508651998,0.0,1066.0870765921848,917.6982658721618,30.662385700544633,17.050483410365366
294.5378867426635,94.88200075214898,85.85409594759766,191.3159782679318,4.782949499642338,1168.851193478878,651.6526615109523,28.864421210312795,33.40946116126301
207.07372003088017,133.71484081193412,0.0,192.14540238890135,0.0,996.2892394679952,813.4636589799873,88.04684794877554,40.502408409740845
274.1464076341584,0.0,139.45303785258653,135.9197297594605,12.487294761891995,1045.8752164577497,852.3045641871879,13.806134351406351,44.501070435154446
156.60113178645892,165.60424817353325,127.37187107398972,184.1412830741018,15.131078873187654,953.5383392938903,744.8083911748021,32.5059925091059,29.15979317240237
377.3428790867508,0.0,0.0,185.623825847761,0.0,849.0871702497608,729.2395464451654,26.41975674431363,41.24924034098924
358.5888952189473,18.98039369754113,94.8619676728411,129.0814562675509,13.590962009396735,1088.4180368270695,905.2531906592749,28.909705364286257,46.15331528554083
583.0641409236887,0.0,0.0,189.12165698297477,0.0,1334.9121200943266,614.8053564256253,27.97554383378071,58.79506388855966
256.46152934552714,0.0,93.15742264586645,184.63236694027216,4.854307875964574,940.4790396475495,909.2884001832958,55.4067395203768,37.26428214723919
285.73332579982224,0.0,119.26500281386222,191.2489298218773,9.996127853003193,859.7644936804569,735.4425024090327,27.20588564104684,25.37395598528369
284.265589369683,144.6089144756921,0.0,198.70600571369351,6.421590189367055,887.7908786316609,732.5048833217837,24.530437890318396,45.94735231657287
183.46197121364474,50.79650236395265,134.3055551188314,140.97554422506064,12.71869560355923,1152.0398209721109,706.0206018613316,3.036372099022476,31.403728864636633
538.3577871694374,0.0,0.0,211.3539599968654,0.0,1050.3322296997835,564.0694155176566,14.088416057195104,37.40642018790387
152.45822723488396,135.5442708427788,92.4035104403984,210.10703989102925,6.336462403260894,940.1722780715587,799.6212963762455,32.75901504471548,24.179741007211977
331.9180082040557,0.0,0.0,209.9595087590709,0.0,983.9948256892443,849.1755550736782,28.355254976280303,22.16104855649408
303.59809203659876,0.0,116.809343065012,235.53219855604942,11.369584479295968,848.0838835491517,737.8904541199811,30.462312316043562,32.133860697686515
234.51069353927275,90.30542489003362,66.30604119752562,270.9882359903541,6.097411245877744,935.5042739054642,691.0508788800958,28.82553016861477,29.874156656541736
412.49736372760157,104.3961725815556,0.0,177.76461327759236,16.539708201705988,1019.0408956483376,811.7017350167126,3.291496305214229,33.341070490692125
463.79159569252795,162.46243078513987,0.0,177.87304519972247,10.660992904588552,916.3821370127254,673.1526001076652,2.832209001684224,33.68522500545484
244.2755750395555,0.0,84.26223068352711,147.91663658984277,10.714752878478901,995.648576027237,827.3114736254319,64.82949342633238,58.91246009502176
375.9566162539375,0.0,0.0,194.68901619391707,0.0,1051.2818073013143,761.280497744255,24.98606132059081,33.23298866996767
404.3221676907419,0.0,0.0,171.2172391280911,0.0,941.3557220125141,738.7955603690843,13.757069003867548,30.867426559446535
316.53420812846554,78.80936933810808,0.0,231.53948655247055,0.0,905.9871102815164,697.0054369932722,87.57176596250726,49.88808623492446
333.5112223814297,0.0,0.0,203.21724779761922,0.0,1018.9913020201179,769.9343198670291,2.992055466283553,14.953403663337621
305.7589904734179,0.0,0.0,189.7166772131812,0.0,999.6263695773682,802.913147009109,139.37686688095783,36.85477244707235
211.93303125313682,0.0,132.74644192268667,188.16693984685864,6.176348686354339,968.629767687963,827.4725645068569,27.671075788482284,28.747136244836174
216.9089596094208,0.0,0.0,197.34856576543194,0.0,1269.1573204366891,763.8834348459623,26.716303755138824,16.216650366343274
215.27967930108957,0.0,188.18890972963047,170.0990282860651,12.470891865731634,942.5359247686841,760.4771645914809,24.14685529643063,46.92730245074104
